Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18377999,Gulp: Adventures on the Alimentary Canal,Mary Roach,"Roach, Mary",,"=""0393348741""","=""9780393348743""",0,3.93,W. W. Norton & Company,Paperback,348,2014,2013,,2024/07/25,to-read,to-read (#745),to-read,,,,0,0
15852,Relativity: The Special and the General Theory,Albert Einstein,"Einstein, Albert",Nigel Calder,"=""0143039822""","=""9780143039822""",0,4.20,Penguin Classics,Paperback,130,2006,1916,,2024/07/25,to-read,to-read (#744),to-read,,,,0,0
17977,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,"Dawkins, Richard",,"=""061861916X""","=""9780618619160""",0,4.14,Mariner Books,Paperback,688,2005,2004,,2024/07/25,to-read,to-read (#743),to-read,,,,0,0
25733983,Lab Girl,Hope Jahren,"Jahren, Hope",,"=""1101874937""","=""9781101874936""",0,3.98,Knopf,Hardcover,290,2016,2016,,2024/07/25,to-read,to-read (#742),to-read,,,,0,0
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,"Sobel, Dava",Neil Armstrong,"=""0802714625""","=""9780802714626""",0,3.98,Walker Books,Hardcover,184,2005,1995,,2024/07/25,to-read,to-read (#741),to-read,,,,0,0
52668915,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"Sheldrake, Merlin",,"=""0525510311""","=""9780525510314""",0,4.34,Random House,Hardcover,352,2020,2020,,2024/07/25,to-read,to-read (#740),to-read,,,,0,0
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,"Preston, Richard",,"=""0385495226""","=""9780385495226""",0,4.15,Anchor Books,Paperback,352,1999,1994,,2024/07/25,to-read,to-read (#739),to-read,,,,0,0
1662160,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,Neil Shubin,"Shubin, Neil",,"=""0375424474""","=""9780375424472""",0,4.04,Pantheon,Hardcover,229,2008,2008,,2024/07/25,to-read,to-read (#738),to-read,,,,0,0
36442813,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""073521610X""","=""9780735216105""",0,4.13,Riverhead Books,Hardcover,224,2018,2017,,2024/07/25,to-read,to-read (#737),to-read,,,,0,0
11337189,A Universe from Nothing: Why There Is Something Rather Than Nothing,Lawrence M. Krauss,"Krauss, Lawrence M.",Richard Dawkins,"=""145162445X""","=""9781451624458""",0,3.94,Atria Books,Hardcover,204,2012,2012,,2024/07/25,to-read,to-read (#736),to-read,,,,0,0
5553,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",Paul C.W. Davies,"=""0465023924""","=""9780465023929""",0,4.21,Basic Books,Paperback,138,1995,1994,,2024/07/25,to-read,to-read (#735),to-read,,,,0,0
4591,Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley,"Ridley, Matt",,"=""0060894083""","=""9780060894085""",0,4.06,Harper Perennial,Paperback,344,2006,1999,,2024/07/25,to-read,to-read (#734),to-read,,,,0,0
35820369,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Steve Brusatte,"Brusatte, Steve",,"=""0062490427""","=""9780062490421""",0,4.21,Mariner Books,Hardcover,404,2018,2018,,2024/07/25,to-read,to-read (#733),to-read,,,,0,0
20663770,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""039335038X""","=""9780393350388""",0,4.10,W. W. Norton & Company,Paperback,384,2014,2006,,2024/07/25,to-read,to-read (#732),to-read,,,,0,0
1168341,Physics of the Impossible,Michio Kaku,"Kaku, Michio",,"=""0385520697""","=""9780385520690""",0,4.10,Doubleday Books,Hardcover,329,2008,2008,,2024/07/25,to-read,to-read (#731),to-read,,,,0,0
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard","=""1771642483""","=""9781771642484""",0,4.07,Greystone Books,Hardcover,272,2016,2015,,2024/07/25,to-read,to-read (#730),to-read,,,,0,0
3272165,Bad Science,Ben Goldacre,"Goldacre, Ben",,"=""0007240198""","=""9780007240197""",0,4.06,HarperCollins Publishers,Paperback,338,2008,2008,,2024/07/25,to-read,to-read (#729),to-read,,,,0,0
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",0,4.09,Penguin,Paperback,466,2006,1986,,2024/07/25,to-read,to-read (#728),to-read,,,,0,0
2095,The Universe in a Nutshell,Stephen Hawking,"Hawking, Stephen",,"=""055380202X""","=""9780553802023""",0,4.19,Bantam,Hardcover,216,2001,2001,,2024/07/25,to-read,to-read (#727),to-read,,,,0,0
